num_features,features,mean_r2
4,"('cement', 'blast furnace slag', 'fly ash', 'water ')",0.4268275855287964
7,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.42651971993327764
6,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.42646760823217866
5,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'fine aggregate')",0.4250674564373037
5,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'coarse aggregate')",0.4249360202846815
6,"('cement', 'blast furnace slag', 'fly ash', 'water ', 'coarse aggregate', 'fine aggregate')",0.42452217226467825
5,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate')",0.422682672417228
6,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.42100427159435255
4,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer')",0.41904989602845405
5,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'fine aggregate')",0.41899521224493796
5,"('cement', 'blast furnace slag', 'fly ash', 'superplasticizer', 'fine aggregate')",0.4187807163609758
5,"('cement', 'blast furnace slag', 'water ', 'coarse aggregate', 'fine aggregate')",0.4172533038480025
4,"('cement', 'blast furnace slag', 'water ', 'superplasticizer')",0.41479225038990963
5,"('cement', 'blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate')",0.41407087591454256
4,"('cement', 'blast furnace slag', 'fine aggregate', 'age')",0.4139546864438989
5,"('cement', 'blast furnace slag', 'fly ash', 'coarse aggregate', 'fine aggregate')",0.4136569584669532
5,"('cement', 'blast furnace slag', 'coarse aggregate', 'fine aggregate', 'age')",0.4115804601279713
4,"('cement', 'blast furnace slag', 'superplasticizer', 'coarse aggregate')",0.4107113444443561
3,"('cement', 'blast furnace slag', 'superplasticizer')",0.40891226692091054
5,"('cement', 'blast furnace slag', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.40872430131812754
4,"('cement', 'blast furnace slag', 'superplasticizer', 'fine aggregate')",0.4075409089984399
5,"('blast furnace slag', 'water ', 'superplasticizer', 'fine aggregate', 'age')",0.4067604756276033
6,"('cement', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.40433377834475603
3,"('cement', 'blast furnace slag', 'age')",0.4036164202515554
5,"('cement', 'fly ash', 'water ', 'coarse aggregate', 'fine aggregate')",0.40309552514029345
4,"('cement', 'blast furnace slag', 'coarse aggregate', 'age')",0.4015547212916779
4,"('water ', 'superplasticizer', 'fine aggregate', 'age')",0.4012767259286744
4,"('cement', 'water ', 'coarse aggregate', 'fine aggregate')",0.40106110543523227
4,"('cement', 'blast furnace slag', 'fly ash', 'fine aggregate')",0.40061071442057783
5,"('cement', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.3996095631625133
4,"('cement', 'blast furnace slag', 'water ', 'fine aggregate')",0.3969597088006982
4,"('cement', 'blast furnace slag', 'water ', 'coarse aggregate')",0.39555671186108576
3,"('cement', 'blast furnace slag', 'water ')",0.39157514148457107
6,"('blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.38949524284715525
5,"('fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.3893432935635466
4,"('fly ash', 'superplasticizer', 'fine aggregate', 'age')",0.3871122807403738
4,"('cement', 'blast furnace slag', 'fly ash', 'coarse aggregate')",0.38703388704710123
3,"('cement', 'blast furnace slag', 'fly ash')",0.3869041678040821
5,"('blast furnace slag', 'fly ash', 'superplasticizer', 'fine aggregate', 'age')",0.3856511507203389
5,"('blast furnace slag', 'fly ash', 'water ', 'fine aggregate', 'age')",0.38509872176595705
4,"('fly ash', 'water ', 'fine aggregate', 'age')",0.38340521368522495
6,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'age')",0.38147257736601425
5,"('fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'age')",0.38026010798195087
5,"('cement', 'fly ash', 'water ', 'superplasticizer', 'fine aggregate')",0.37528451542629426
4,"('cement', 'water ', 'superplasticizer', 'fine aggregate')",0.37204030691978823
5,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'age')",0.37197933060264
4,"('blast furnace slag', 'water ', 'fine aggregate', 'age')",0.37150834043654146
4,"('fly ash', 'water ', 'superplasticizer', 'age')",0.3674450790936695
6,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.3669655293592965
5,"('blast furnace slag', 'fly ash', 'water ', 'coarse aggregate', 'fine aggregate')",0.3659475986848201
5,"('cement', 'fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.36282016829505426
4,"('cement', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.3623908918332382
3,"('water ', 'fine aggregate', 'age')",0.36196994242712044
4,"('cement', 'fly ash', 'superplasticizer', 'fine aggregate')",0.36124555658703106
3,"('cement', 'superplasticizer', 'fine aggregate')",0.36092759812444264
5,"('blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate', 'age')",0.35281158718266015
5,"('blast furnace slag', 'fly ash', 'water ', 'coarse aggregate', 'age')",0.3491948561219756
5,"('cement', 'fly ash', 'coarse aggregate', 'fine aggregate', 'age')",0.34886228524153096
4,"('cement', 'fly ash', 'coarse aggregate', 'age')",0.34859944880458055
4,"('fly ash', 'superplasticizer', 'coarse aggregate', 'age')",0.3473679876195826
3,"('fly ash', 'superplasticizer', 'age')",0.34699291984357705
4,"('blast furnace slag', 'fly ash', 'superplasticizer', 'age')",0.3468569363023617
5,"('blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'age')",0.3466121647395819
5,"('fly ash', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.34647269956957694
4,"('fly ash', 'water ', 'coarse aggregate', 'age')",0.34509851683305526
4,"('fly ash', 'water ', 'coarse aggregate', 'fine aggregate')",0.34505808024190016
4,"('cement', 'water ', 'superplasticizer', 'coarse aggregate')",0.3436804011723754
2,"('cement', 'superplasticizer')",0.34279545158998814
4,"('blast furnace slag', 'water ', 'superplasticizer', 'age')",0.34259760071425804
3,"('cement', 'superplasticizer', 'coarse aggregate')",0.3421281651679787
5,"('blast furnace slag', 'superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.3414401704497251
4,"('superplasticizer', 'coarse aggregate', 'fine aggregate', 'age')",0.3412612180231528
5,"('cement', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate')",0.3411498422490234
3,"('cement', 'water ', 'superplasticizer')",0.34081509928176634
3,"('cement', 'fly ash', 'superplasticizer')",0.339714815515495
4,"('cement', 'fly ash', 'superplasticizer', 'coarse aggregate')",0.339377041624051
4,"('blast furnace slag', 'superplasticizer', 'fine aggregate', 'age')",0.33882535444650025
3,"('cement', 'fly ash', 'age')",0.3387735514935447
3,"('cement', 'water ', 'fine aggregate')",0.338376269190585
4,"('cement', 'fly ash', 'water ', 'superplasticizer')",0.3380953599756434
4,"('cement', 'fly ash', 'fine aggregate', 'age')",0.33808412767078033
4,"('blast furnace slag', 'water ', 'coarse aggregate', 'age')",0.3376859473002044
4,"('water ', 'superplasticizer', 'coarse aggregate', 'age')",0.33735680324617867
4,"('cement', 'coarse aggregate', 'fine aggregate', 'age')",0.33691567017390184
3,"('superplasticizer', 'fine aggregate', 'age')",0.3367995141111207
3,"('cement', 'coarse aggregate', 'age')",0.33639421820478466
4,"('cement', 'fly ash', 'water ', 'fine aggregate')",0.3338055305181634
3,"('cement', 'water ', 'coarse aggregate')",0.3256949233126017
2,"('cement', 'age')",0.3255110283238172
3,"('cement', 'fine aggregate', 'age')",0.3247610379131885
3,"('water ', 'coarse aggregate', 'age')",0.3228986540273491
4,"('cement', 'fly ash', 'water ', 'coarse aggregate')",0.32073302337457277
3,"('water ', 'superplasticizer', 'age')",0.3187021856891135
3,"('cement', 'blast furnace slag', 'fine aggregate')",0.316612821907631
2,"('cement', 'blast furnace slag')",0.3156420886230893
4,"('cement', 'blast furnace slag', 'coarse aggregate', 'fine aggregate')",0.31494304819811075
3,"('cement', 'blast furnace slag', 'coarse aggregate')",0.31400169382125404
3,"('blast furnace slag', 'superplasticizer', 'age')",0.31235490722494685
4,"('blast furnace slag', 'superplasticizer', 'coarse aggregate', 'age')",0.312100091923466
4,"('blast furnace slag', 'fly ash', 'water ', 'age')",0.30200391835362445
3,"('superplasticizer', 'coarse aggregate', 'age')",0.2999851421204286
2,"('cement', 'water ')",0.2995264923708041
4,"('blast furnace slag', 'water ', 'coarse aggregate', 'fine aggregate')",0.29859065089849546
2,"('superplasticizer', 'age')",0.2983298684507429
3,"('water ', 'coarse aggregate', 'fine aggregate')",0.298103897398162
3,"('blast furnace slag', 'water ', 'age')",0.2979290244551766
3,"('cement', 'fly ash', 'water ')",0.29409995776949865
5,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'fine aggregate')",0.29257511792869745
5,"('blast furnace slag', 'water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.2923923892570999
4,"('water ', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.29235887046597825
4,"('fly ash', 'water ', 'superplasticizer', 'fine aggregate')",0.2914209725702131
3,"('fly ash', 'water ', 'age')",0.2807054697058062
5,"('blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.2720441140134432
2,"('water ', 'age')",0.2639134668321563
4,"('fly ash', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.263867651570699
4,"('blast furnace slag', 'fly ash', 'superplasticizer', 'fine aggregate')",0.26102701376049364
3,"('fly ash', 'superplasticizer', 'fine aggregate')",0.2583174190022353
4,"('cement', 'fly ash', 'coarse aggregate', 'fine aggregate')",0.25828251601784935
3,"('cement', 'coarse aggregate', 'fine aggregate')",0.25624618394044385
3,"('cement', 'fly ash', 'coarse aggregate')",0.25287435254205504
2,"('cement', 'coarse aggregate')",0.25064097827106585
3,"('cement', 'fly ash', 'fine aggregate')",0.244232000477871
2,"('cement', 'fly ash')",0.24254483315825554
2,"('cement', 'fine aggregate')",0.24120080681087291
1,"('cement',)",0.23952837967362303
4,"('blast furnace slag', 'water ', 'superplasticizer', 'fine aggregate')",0.22468395096575994
3,"('water ', 'superplasticizer', 'fine aggregate')",0.22384745199357886
3,"('fly ash', 'water ', 'fine aggregate')",0.22219479962867417
4,"('blast furnace slag', 'fly ash', 'water ', 'fine aggregate')",0.2203040121936674
4,"('fly ash', 'water ', 'superplasticizer', 'coarse aggregate')",0.20430425867240226
5,"('blast furnace slag', 'fly ash', 'water ', 'superplasticizer', 'coarse aggregate')",0.2029072330382155
3,"('superplasticizer', 'coarse aggregate', 'fine aggregate')",0.20167332046697903
4,"('blast furnace slag', 'superplasticizer', 'coarse aggregate', 'fine aggregate')",0.2003659300989038
3,"('fly ash', 'superplasticizer', 'coarse aggregate')",0.19872402978161188
3,"('fly ash', 'water ', 'superplasticizer')",0.19694949611629226
4,"('blast furnace slag', 'fly ash', 'superplasticizer', 'coarse aggregate')",0.196927900496105
2,"('fly ash', 'superplasticizer')",0.19687264322513132
